release_year,genre,total
2015,Action & Adventure,7
2015,"Action & Adventure, Anime Features, International Movies",1
2015,"Action & Adventure, Comedies",3
2015,"Action & Adventure, Comedies, Independent Movies",2
2015,"Action & Adventure, Comedies, International Movies",6
2015,"Action & Adventure, Comedies, Romantic Movies",1
2015,"Action & Adventure, Documentaries, International Movies",1
2015,"Action & Adventure, Dramas",1
2015,"Action & Adventure, Dramas, International Movies",18
2015,"Action & Adventure, Horror Movies",1
2015,"Action & Adventure, Horror Movies, International Movies",1
2015,"Action & Adventure, Independent Movies",1
2015,"Action & Adventure, International Movies",4
2015,"Action & Adventure, International Movies, Sci-Fi & Fantasy",1
2015,"Action & Adventure, Sci-Fi & Fantasy",4
2015,"Action & Adventure, Thrillers",1
2015,Anime Features,1
2015,"Anime Series, Crime TV Shows, International TV Shows",1
2015,"Anime Series, Crime TV Shows, TV Thrillers",1
2015,"Anime Series, International TV Shows",5
2015,"Anime Series, International TV Shows, Teen TV Shows",2
2015,"Anime Series, Kids' TV",2
2015,"British TV Shows, Classic & Cult TV, TV Comedies",1
2015,"British TV Shows, Crime TV Shows, Docuseries",4
2015,"British TV Shows, Crime TV Shows, International TV Shows",1
2015,"British TV Shows, Docuseries",2
2015,"British TV Shows, Docuseries, International TV Shows",1
2015,"British TV Shows, Docuseries, Science & Nature TV",5
2015,"British TV Shows, International TV Shows, Reality TV",1
2015,"British TV Shows, International TV Shows, TV Comedies",1
2015,"British TV Shows, International TV Shows, TV Dramas",1
2015,"British TV Shows, Kids' TV",3
2015,"British TV Shows, Reality TV",1
2015,"British TV Shows, TV Dramas, TV Sci-Fi & Fantasy",1
2015,Children & Family Movies,11
2015,"Children & Family Movies, Comedies",4
2015,"Children & Family Movies, Comedies, Sci-Fi & Fantasy",1
2015,"Children & Family Movies, Comedies, Sports Movies",1
2015,"Children & Family Movies, Dramas, Music & Musicals",1
2015,"Children & Family Movies, Dramas, Romantic Movies",1
2015,"Children & Family Movies, Dramas, Sports Movies",1
2015,"Children & Family Movies, Music & Musicals",2
